Missing data from input file Chinook_Ne_input.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [Post_AD_17IN0790]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
     109           75             0000            27
     110           75             0000            41
     111           80             0000            21
     112           68             0000            33
     113          184             0000             7
     114          131             0000             1
     115           87             0000            31
     116          113             0000            33
     117           40             0000            32
     118           62             0000            49
     119           60             0000            27
     120          100             0000             7
     121          119             0000            15
-----------------------------------------------------------
Total missing data for population    5:         1143

Population 6 [Pre_ID_15KB0871]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           90             0000            13
       2           99             0000             4
       3          114             0000            30
       4          260             0000             2
       5          184             0000             9
       6          197             0000             2
       7           72             0000            21
       8           55             0000            34
       9          197             0000             4
      10           32             0000            59
      11           70             0000            21
      12          130             0000            21
      13          162             0000            27
      15           57             0000            57
      16          172             0000             4
      17          245             0000             1
      19          116             0000             8
      20          223             0000             2
      21          261             0000             1
      22           43             0000            35
      23          136             0000             2
      24          102             0000            15
      25          264             0000             1
      26           47             0000            49
      27           39             0000            10
      28           49             0000            12
      30          177             0000             1
      31          173             0000             6
      32          264             0000             2
      34          158             0000             4
      35          252             0000             3
      36          271             0000             1
      38          188             0000             5
      40           97             0000             7
      41          265             0000             2
      42          252             0000             2
      43           48             0000             5
      44          172             0000             2
      45          235             0000             3
      46           96             0000             8
      47          126             0000            31
      48          123             0000             6
      49           58             0000            12
      50           64             0000            12
      51          193             0000            11
      52          198             0000             2
      53          178             0000             6
      54          244             0000             2
      56          270             0000             1
      57          270             0000             1
      58          252             0000             1
      59          197             0000             1
      60          195             0000             4
-----------------------------------------------------------
Total missing data for population    6:          585

