Sample_ID,Long,Lat
51686_15_38,-123.554462,48.133958
51686_15_39,-123.557206,48.126028
51686_15_4,-123.554462,48.133958
51686_15_40,-123.554462,48.133958
51686_15_41,-123.554462,48.133958
51686_15_42,-123.554462,48.133958
51686_15_43,-123.554462,48.133958
51686_15_44,-123.554462,48.133958
51686_15_45,-123.554462,48.133958
51686_15_46,-123.554462,48.133958
51686_15_47,-123.554462,48.133958
51686_15_48,-123.554462,48.133958
51686_15_5,-123.554462,48.133958
51686_15_50,-123.558055,48.126089
51686_15_51,-123.554462,48.133958
51686_15_52,-123.554462,48.133958
51686_15_53,-123.554462,48.133958
51686_15_54,-123.554462,48.133958
51686_15_55,-123.554462,48.133958
51686_15_56,-123.554462,48.133958
51686_15_58,-123.554462,48.133958
51686_15_59,-123.554462,48.133958
51686_15_6,-123.554462,48.133958
51686_15_60,-123.554462,48.133958
51686_15_61,-123.554462,48.133958
51686_15_62,-123.557206,48.126028
51686_15_66,-123.554462,48.133958
51686_15_67,-123.554462,48.133958
51686_15_68,-123.554462,48.133958
51686_15_69,-123.554462,48.133958
51686_15_7,-123.554462,48.133958
51686_15_70,-123.554462,48.133958
51686_15_71,-123.554462,48.133958
51686_15_72,-123.554462,48.133958
51686_15_73,-123.554462,48.133958
51686_15_74,-123.554462,48.133958
51686_15_75,-123.554462,48.133958
51686_15_76,-123.554462,48.133958
51686_15_77,-123.554462,48.133958
51686_15_78,-123.554462,48.133958
51686_15_79,-123.554462,48.133958
51686_15_80,-123.554462,48.133958
51686_15_81,-123.554462,48.133958
51686_15_82,-123.554462,48.133958
51686_15_83,-123.554462,48.133958
51686_15_84,-123.554462,48.133958
51686_15_85,-123.555959,48.119386
51686_15_86,-123.554462,48.133958
51686_15_87,-123.554462,48.133958
51686_15_88,-123.554462,48.133958
51686_15_89,-123.554462,48.133958
51686_15_90,-123.554462,48.133958
51686_15_92,-123.563271,48.139881
51686_15_93,-123.563271,48.139881
51686_15_94,-123.554462,48.133958
51686_15_95,-123.599862,48.011814
51686_15_96,-123.577027,48.063958
51686_15_97,-123.580341,48.061003
51686_15_98,-123.577027,48.063958
51686_15_99,-123.563271,48.139881
51686_2,-123.554462,48.133958
51686_3,-123.557206,48.126028
51686_37,-123.554462,48.133958
51686_4,-123.557206,48.126028
51686_5,-123.554462,48.133958
51686_6,-123.557206,48.126028
51686_70,-123.554462,48.133958
